PLAYER_MATCH,TIME,METHOD,PLACE,PLAY,PLAYER_MATCH_GOAL
509079,4,R,P,T,11370
509105,28,R,P,P,11371
509136,42,R,P,O,11372
509153,29,H,P,O,11373
509130,26,R,P,O,11374
509167,17,R,P,O,11375
509167,66,R,P,O,11376
509169,37,H,G,I,11377
509193,70,L,P,O,11378
509199,83,R,P,O,11379
509244,18,R,P,P,11380
509248,45,R,O,O,11381
509259,38,R,P,O,11382
509267,80,R,O,O,11383
509267,52,H,G,O,11384
509278,68,R,O,O,11385
509299,44,L,P,O,11386
509280,84,R,P,P,11387
509277,90,R,P,O,11388
509290,36,H,G,C,11389
509308,25,R,O,D,11390
509310,49,R,P,O,11391
509331,61,L,G,O,11392
509331,90,H,P,T,11393
509359,76,L,P,T,11394
509390,87,R,P,C,11395
509391,5,R,P,O,11396
509406,73,R,P,P,11397
509456,28,R,P,O,11398
509471,54,L,P,O,11399
509486,88,L,P,O,11400
509487,45,R,P,O,11401
509487,72,R,P,O,11402
509467,87,L,G,O,11403
509515,67,R,P,O,11404
509520,88,H,P,O,11405
509523,44,R,O,O,11406
509536,14,H,P,O,11407
509536,58,R,P,O,11408
509538,26,R,O,D,11409
509568,32,L,G,O,11410
